Bressana Bottarone comune,Bressana Bottarone comune.1
,
Bressana Bottarone – VedutaCasa del Comune,Bressana Bottarone – VedutaCasa del Comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Valentino Milanesi (lista civica Ascoltare Bressana) dal 9-6-2024
Territorio,Territorio
Coordinate,45°04′41.05″N 9°07′52.28″E
Altitudine,69 m s.l.m.
Superficie,"12,69 km²"
Abitanti,3 495[1] (30-11-2025)
Densità,"275,41 ab./km²"
Frazioni,"Argine, Bottarone, Cascina Bella, Ferragutti"
Comuni confinanti,"Bastida Pancarana, Casatisma, Castelletto di Branduzzo, Cava Manara, Pinarolo Po, Rea, Robecco Pavese, Verrua Po"
Altre informazioni,Altre informazioni
Cod. postale,27042
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018023
Cod. catastale,B159
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,bressanesi
Cartografia,Cartografia
Bressana Bottarone,Bressana Bottarone
Bressana Bottarone – MappaPosizione del comune di Bressana Bottarone nella provincia di Pavia,Bressana Bottarone – MappaPosizione del comune di Bressana Bottarone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
