Sartirana Lomellina comune,Sartirana Lomellina comune.1
,
Sartirana Lomellina – VedutaIl castello di Sartirana e sullo sfondo la chiesa di San Rocco,Sartirana Lomellina – VedutaIl castello di Sartirana e sullo sfondo la chiesa di San Rocco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Pietro Ghiselli dal 26-5-2019
Territorio,Territorio
Coordinate,45°06′56″N 8°39′55″E
Altitudine,100 m s.l.m.
Superficie,"29,54 km²"
Abitanti,1 497[1] (30-11-2025)
Densità,"50,68 ab./km²"
Frazioni,"Moncucco, Tenuta Mora, Tenuta San Giorgio, Cascina Parzano, Tenuta Pero, Tenuta Boscobasso"
Comuni confinanti,"Bozzole (AL), Breme, Mede, Semiana, Torre Beretti e Castellaro, Valle Lomellina, Valmacca (AL)"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018146
Cod. catastale,I447
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 730 GG[3]"
Nome abitanti,sartiranesi
Patrono,santa Maria del Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Sartirana Lomellina,Sartirana Lomellina
Sartirana Lomellina – MappaPosizione del comune di Sartirana Lomellina nella provincia di Pavia,Sartirana Lomellina – MappaPosizione del comune di Sartirana Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
