Godiasco Salice Terme comune,Godiasco Salice Terme comune.1
,
"Godiasco Salice Terme – VedutaPanorama di Godiasco, capoluogo del comune di Godiasco Salice Terme","Godiasco Salice Terme – VedutaPanorama di Godiasco, capoluogo del comune di Godiasco Salice Terme"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Fabio Riva (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,44°54′N 9°03′E
Altitudine,196 m s.l.m.
Superficie,"20,61 km²"
Abitanti,3 297[1] (30-11-2025)
Densità,"159,97 ab./km²"
Frazioni,"Alta Collina, Casa Bedaglia, Casa Belloni, Cascina Morosini, Gomo, Montegarzano, Piumesana, Sala Superiore, Salice Terme, San Bartolomeo, San Desiderio, San Giovanni, Verone, Montalfeo"
Comuni confinanti,"Casalnoceto (AL), Cecima, Montesegale, Ponte Nizza, Pozzol Groppo (AL), Rivanazzano Terme, Rocca Susella, Volpedo (AL)"
Altre informazioni,Altre informazioni
Cod. postale,27052
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018073
Cod. catastale,E072
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 690 GG[3]"
Nome abitanti,godiaschesi / salicesi
Cartografia,Cartografia
Godiasco Salice Terme,Godiasco Salice Terme
Godiasco Salice Terme – MappaPosizione del comune di Godiasco Salice Terme nella provincia di Pavia,Godiasco Salice Terme – MappaPosizione del comune di Godiasco Salice Terme nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
