Montecalvo Versiggia comune,Montecalvo Versiggia comune.1
,
Montecalvo Versiggia – VedutaChiesa di Sant'Alessandro,Montecalvo Versiggia – VedutaChiesa di Sant'Alessandro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Delmonte (lista civica) dal 14-6-2004
Territorio,Territorio
Coordinate,44°58′17″N 9°17′07.76″E
Altitudine,360 m s.l.m.
Superficie,"11,4 km²"
Abitanti,480[1] (30-11-2025)
Densità,"42,11 ab./km²"
Frazioni,"Bagarello, Carolo, Casella, Castelrotto, Cerchiara, Colombato, Crocetta, Francia, Michelazza"
Comuni confinanti,"Colli Verdi, Golferenzo, Montalto Pavese, Rocca de' Giorgi, Santa Maria della Versa, Volpara"
Altre informazioni,Altre informazioni
Cod. postale,27047
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018096
Cod. catastale,F449
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 189 GG[3]"
Nome abitanti,montecalvesi
Patrono,sant'Alessandro
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Montecalvo Versiggia,Montecalvo Versiggia
Montecalvo Versiggia – MappaPosizione del comune di Montecalvo Versiggia nella provincia di Pavia,Montecalvo Versiggia – MappaPosizione del comune di Montecalvo Versiggia nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
