Copiano comune,Copiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Itraloni (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°12′N 9°19′E
Altitudine,74 m s.l.m.
Superficie,"4,34 km²"
Abitanti,1 786[1] (30-11-2025)
Densità,"411,52 ab./km²"
Comuni confinanti,"Corteolona e Genzone, Filighera, Gerenzago, Magherno, Vistarino, Villanterio"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018053
Cod. catastale,C979
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,copianini o copianesi
Cartografia,Cartografia
Copiano,Copiano
Copiano – MappaPosizione del comune di Copiano nella provincia di Pavia,Copiano – MappaPosizione del comune di Copiano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
