Albuzzano comune,Albuzzano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Marco Tombola (lista civica di area leghista) dal 25-5-2014
Territorio,Territorio
Coordinate,45°11′N 9°16′E
Altitudine,76 m s.l.m.
Superficie,"15,45 km²"
Abitanti,3 670[1] (30-11-2025)
Densità,"237,54 ab./km²"
Frazioni,"Alperolo, Barona, Cascina De Mensi (Nuova e Vecchia), Torre d'Astari, Vigalfo"
Comuni confinanti,"Belgioioso, Cura Carpignano, Filighera, Linarolo, Valle Salimbene, Vistarino"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018004
Cod. catastale,A175
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,albuzzanini
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Albuzzano,Albuzzano
Albuzzano – MappaPosizione del comune di Albuzzano nella provincia di Pavia,Albuzzano – MappaPosizione del comune di Albuzzano nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
