Montesegale comune,Montesegale comune.1
,
Montesegale – Veduta,Montesegale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Carlo Ferrari (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,44°54′22.9″N 9°07′36.85″E
Altitudine,326 m s.l.m.
Superficie,"14,97 km²"
Abitanti,240[1] (30-11-2025)
Densità,"16,03 ab./km²"
Frazioni,"Bregne, Camolino, Case del Molino, Castignoli, Cencerate, Frascate, Languzzano, Molino della Montà, Sanguignano, Zuccarello"
Comuni confinanti,"Borgo Priolo, Fortunago, Godiasco Salice Terme, Ponte Nizza, Rocca Susella, Val di Nizza"
Altre informazioni,Altre informazioni
Cod. postale,27052
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018098
Cod. catastale,F644
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 962 GG[3]"
Nome abitanti,montesegalesi
Patrono,santi Cosma e Damiano
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Montesegale,Montesegale
Montesegale – MappaPosizione del comune di Montesegale nella provincia di Pavia,Montesegale – MappaPosizione del comune di Montesegale nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
