Pieve Porto Morone comune,Pieve Porto Morone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Elio Giovanni Grossi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°06′37″N 9°26′13″E
Altitudine,58 m s.l.m.
Superficie,"16,4 km²"
Abitanti,2 737[1] (30-11-2025)
Densità,"166,89 ab./km²"
Frazioni,"Casoni, Mezzano, Sartorona"
Comuni confinanti,"Arena Po, Badia Pavese, Castel San Giovanni (PC), Costa de' Nobili, Monticelli Pavese, Santa Cristina e Bissone, Zerbo"
Altre informazioni,Altre informazioni
Cod. postale,27017
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018114
Cod. catastale,G650
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,pievesi
Cartografia,Cartografia
Pieve Porto Morone,Pieve Porto Morone
Pieve Porto Morone – MappaPosizione del comune di Pieve Porto Morone nella provincia di Pavia,Pieve Porto Morone – MappaPosizione del comune di Pieve Porto Morone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
