Pieve del Cairo comune,Pieve del Cairo comune.1
,
Pieve del Cairo – VedutaVeduta,Pieve del Cairo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Niccolò Capittini (lista civica) dal 22-09-2020
Territorio,Territorio
Coordinate,45°03′10″N 8°48′52.94″E
Altitudine,80 m s.l.m.
Superficie,"25,11 km²"
Abitanti,1 801[1] (30-11-2025)
Densità,"71,72 ab./km²"
Frazioni,"Cairo Lomellino, Cascina Provvidenza, Cascine Nuove, Gallia"
Comuni confinanti,"Bassignana (AL), Ferrera Erbognone, Galliavola, Gambarana, Isola Sant'Antonio (AL), Mede, Mezzana Bigli, Villa Biscossi"
Altre informazioni,Altre informazioni
Cod. postale,27037
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018113
Cod. catastale,G639
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,pievesi
Patrono,Natività di Maria Vergine
Giorno festivo,Seconda domenica di settembre.
Cartografia,Cartografia
Pieve del Cairo,Pieve del Cairo
Pieve del Cairo – MappaPosizione del comune di Pieve del Cairo nella provincia di Pavia,Pieve del Cairo – MappaPosizione del comune di Pieve del Cairo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
