Miradolo Terme comune,Miradolo Terme comune.1
,
Miradolo Terme – VedutaVeduta del centro storico,Miradolo Terme – VedutaVeduta del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Michela Callegari (lista civica lega) dal 22-9-2020
Territorio,Territorio
Coordinate,45°10′20.62″N 9°26′55.2″E
Altitudine,72 m s.l.m.
Superficie,"9,56 km²"
Abitanti,3 904[1] (30-11-2025)
Densità,"408,37 ab./km²"
Frazioni,Camporinaldo Terme di Miradolo
Comuni confinanti,"Chignolo Po, Graffignana (LO), Inverno e Monteleone, San Colombano al Lambro (MI), Sant'Angelo Lodigiano (LO), Santa Cristina e Bissone"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018093
Cod. catastale,F238
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,miradolesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Miradolo Terme,Miradolo Terme
Miradolo Terme – MappaPosizione del comune di Miradolo Terme nella provincia di Pavia,Miradolo Terme – MappaPosizione del comune di Miradolo Terme nella provincia di Pavia
[www.comune.miradoloterme.pv.it Sito istituzionale],[www.comune.miradoloterme.pv.it Sito istituzionale]
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
