Montespertoli comune,Montespertoli comune.1
,
Montespertoli – VedutaPanorama di Montespertoli,Montespertoli – VedutaPanorama di Montespertoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Alessio Mugnaini (PD) dal 27-5-2019
Territorio,Territorio
Coordinate,43°39′N 11°05′E
Altitudine,257 m s.l.m.
Superficie,"124,97 km²"
Abitanti,13 206[1] (30-11-2025)
Densità,"105,67 ab./km²"
Frazioni,"Martignana, Ortimino, Lucardo, Fornacette, San Pancrazio (in parte) Lucignano, San Quirico in Collina, Poppiano, Montagnana Val di Pesa, Montegufoni, Baccaiano, Anselmo, Montalbino, Tresanti, Botinaccio.[2]"
Comuni confinanti,"Barberino Tavarnelle, Castelfiorentino, Certaldo, Empoli, Lastra a Signa, Montelupo Fiorentino, San Casciano in Val di Pesa, Scandicci"
Altre informazioni,Altre informazioni
Cod. postale,50025
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048030
Cod. catastale,F648
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 158 GG[4]"
Nome abitanti,montespertolesi
Patrono,sant'Andrea apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Montespertoli,Montespertoli
Montespertoli – MappaPosizione del comune di Montespertoli all'interno della città metropolitana di Firenze,Montespertoli – MappaPosizione del comune di Montespertoli all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
