Barberino di Mugello comune,Barberino di Mugello comune.1
,
Barberino di Mugello – VedutaPiazza Cavour,Barberino di Mugello – VedutaPiazza Cavour
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Sara Di Maio (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°00′N 11°14′E
Altitudine,270 m s.l.m.
Superficie,"133,29 km²"
Abitanti,10 970[1] (30-11-2025)
Densità,"82,3 ab./km²"
Frazioni,"Cavallina, Il Cornocchio, Galliano di Mugello, Mangona, Montecarelli[2]"
Comuni confinanti,"Calenzano, Cantagallo (PO), Castiglione dei Pepoli (BO), Firenzuola, Scarperia e San Piero, Vaiano (PO), Vernio (PO)"
Altre informazioni,Altre informazioni
Cod. postale,50031
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048002
Cod. catastale,A632
Targa,FI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 178 GG[4]"
Nome abitanti,barberinesi
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Barberino di Mugello,Barberino di Mugello
Barberino di Mugello – MappaPosizione del comune di Barberino di Mugello all'interno della città metropolitana di Firenze,Barberino di Mugello – MappaPosizione del comune di Barberino di Mugello all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
