Calenzano comune,Calenzano comune.1
,
Calenzano – Veduta,Calenzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,"Giuseppe Carovani (Sinistra per Calenzano, Per la mia Città, Calenzano Democratica) dal 24-06-2024"
Territorio,Territorio
Coordinate,43°51′24″N 11°09′49″E
Altitudine,68 m s.l.m.
Superficie,"76,97 km²"
Abitanti,18 006[1] (30-11-2025)
Densità,"233,94 ab./km²"
Frazioni,"Baroncoli, Carraia, Collina, Croci di Calenzano, La Cassiana, La Chiusa, Leccio, Legri, Nome di Gesù, Pontenuovo, Pratignone, San Bartolo, San Donato, San Pietro in Casaglia, Secciano, Settimello, Sommaia, Spazzavento, Travalle"
Comuni confinanti,"Barberino di Mugello, Campi Bisenzio, Prato (PO), Scarperia e San Piero, Sesto Fiorentino, Vaglia, Vaiano (PO)"
Altre informazioni,Altre informazioni
Cod. postale,50041
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048005
Cod. catastale,B406
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 740 GG[3]"
Nome abitanti,calenzanesi
Patrono,san Niccolò
Cartografia,Cartografia
Calenzano,Calenzano
Calenzano – MappaPosizione del comune di Calenzano all'interno della città metropolitana di Firenze,Calenzano – MappaPosizione del comune di Calenzano all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
