Scandicci comune,Scandicci comune.1
,
Scandicci – VedutaIl comune vecchio di Scandicci,Scandicci – VedutaIl comune vecchio di Scandicci
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Claudia Sereni (PD) dall'11-6-2024
Territorio,Territorio
Coordinate,43°45′16″N 11°11′22″E
Altitudine,47 m s.l.m.
Superficie,"59,7 km²"
Abitanti,49 129[1] (30-11-2025)
Densità,"822,93 ab./km²"
Frazioni,"Badia a Settimo, Capannuccia, Casellina, Castellare, Giogoli, Granatieri, Grioli, Le Bagnese, Olmo, Mosciano, Pieve a Settimo, Rinaldi, San Colombano, San Giusto a Signano, San Martino alla Palma, San Michele a Torri, San Vincenzo a Torri, Santa Maria a Marciola, Scandicci Alto, Vingone, Viottolone."
Comuni confinanti,"Campi Bisenzio, Firenze, Impruneta, Lastra a Signa, Montespertoli, San Casciano in Val di Pesa, Signa"
Altre informazioni,Altre informazioni
Cod. postale,50018
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048041
Cod. catastale,B962
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 817 GG[3]"
Nome abitanti,scandiccesi
Patrono,san Zanobi
Giorno festivo,10 maggio
Cartografia,Cartografia
Scandicci,Scandicci
Scandicci – MappaPosizione del comune di Scandicci all'interno della città metropolitana di Firenze,Scandicci – MappaPosizione del comune di Scandicci all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
