Pelago comune,Pelago comune.1
,
Pelago – VedutaVeduta di Pelago,Pelago – VedutaVeduta di Pelago
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Nicola Povoleri (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,43°46′26″N 11°30′17″E
Altitudine,309 m s.l.m.
Superficie,"54,56 km²"
Abitanti,7 957[1] (30-11-2025)
Densità,"145,84 ab./km²"
Frazioni,"Bibbiano, Borselli, Campiglioni, Carbonile, Consuma, Diacceto, Ferrano, Fontisterni, Lucignano, Magnale, Massolina, Nipozzano, Pagiano, Palaie, Paterno, Raggioli, Ristonchi, San Francesco-Albereta, Sant'Ellero, Stentatoio"
Comuni confinanti,"Montemignaio (AR), Pontassieve, Pratovecchio Stia (AR), Reggello, Rignano sull'Arno, Rufina"
Altre informazioni,Altre informazioni
Cod. postale,50060
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048032
Cod. catastale,G420
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 238 GG[3]"
Nome abitanti,pelaghesi
Patrono,san Clemente
Giorno festivo,23 novembre
Cartografia,Cartografia
Pelago,Pelago
Pelago – MappaPosizione del comune di Pelago all'interno della città metropolitana di Firenze,Pelago – MappaPosizione del comune di Pelago all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
