Borgo San Lorenzo comune,Borgo San Lorenzo comune.1
,
Borgo San Lorenzo – VedutaPalazzo del Podestà,Borgo San Lorenzo – VedutaPalazzo del Podestà
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,"Leonardo Romagnoli (M5S, Progressisti democratici, Borgo in comune) dal 24-6-2024"
Territorio,Territorio
Coordinate,43°57′19.73″N 11°23′08.2″E
Altitudine,193 m s.l.m.
Superficie,"146,37 km²"
Abitanti,18 405[1] (30-11-2025)
Densità,"125,74 ab./km²"
Frazioni,"Arliano, Casaglia, Faltona, Grezzano, Luco Mugello, La Torre, Panicaglia, Poggiolo-Salaiole, Polcanto, Rabatta, Razzuolo, Ronta, Sagginale[2]"
Comuni confinanti,"Fiesole, Firenzuola, Marradi, Palazzuolo sul Senio, Pontassieve, Scarperia e San Piero, Vaglia, Vicchio"
Altre informazioni,Altre informazioni
Cod. postale,50032; 50034 (Casaglia)
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048004
Cod. catastale,B036
Targa,FI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 122 GG[4]"
Nome abitanti,borghigiani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Borgo San Lorenzo,Borgo San Lorenzo
Borgo San Lorenzo – MappaPosizione del comune di Borgo San Lorenzo all'interno della città metropolitana di Firenze,Borgo San Lorenzo – MappaPosizione del comune di Borgo San Lorenzo all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
