Cerreto Guidi comune,Cerreto Guidi comune.1
,
Cerreto Guidi – Veduta,Cerreto Guidi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Simona Rossetti (PD) dal 26-5-2014
Territorio,Territorio
Coordinate,43°45′42.12″N 10°52′37.56″E
Altitudine,123 m s.l.m.
Superficie,"49,32 km²"
Abitanti,10 675[1] (30-11-2025)
Densità,"216,44 ab./km²"
Frazioni,"Bassa, Corliano, Gavena, Lazzeretto, Maccanti-Palagina, Poggio Tempesti, Ponte di Masino, Ripoli, San Zio, Stabbia Fonte:[2]"
Comuni confinanti,"Empoli, Fucecchio, Lamporecchio (PT), Larciano (PT), San Miniato (PI), Vinci"
Altre informazioni,Altre informazioni
Cod. postale,50050
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048011
Cod. catastale,C529
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 698 GG[4]"
Nome abitanti,cerretesi
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Cerreto Guidi,Cerreto Guidi
Cerreto Guidi – MappaPosizione del comune di Cerreto Guidi all'interno della città metropolitana di Firenze,Cerreto Guidi – MappaPosizione del comune di Cerreto Guidi all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
