Vaglia comune,Vaglia comune.1
,
Vaglia – Veduta,Vaglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Silvia Catani (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°54′26″N 11°16′54″E
Altitudine,290 m s.l.m.
Superficie,"56,94 km²"
Abitanti,5 367[1] (30-11-2025)
Densità,"94,26 ab./km²"
Frazioni,"Bivigliano, Caselline, Fontebuona, Montorsoli, Mulinaccio, Paterno, Pratolino, Viliani"
Comuni confinanti,"Borgo San Lorenzo, Calenzano, Fiesole, Scarperia e San Piero, Sesto Fiorentino"
Altre informazioni,Altre informazioni
Cod. postale,50036
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048046
Cod. catastale,L529
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 209 GG[3]"
Nome abitanti,vagliesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Vaglia,Vaglia
Vaglia – MappaPosizione del comune di Vaglia all'interno della città metropolitana di Firenze,Vaglia – MappaPosizione del comune di Vaglia all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
