Signa comune,Signa comune.1
,
Signa – Veduta,Signa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Giampiero Fossi (PD) dal 10-6-2019 (2º mandato dal 24-6-2024)
Data di istituzione,Dal 1228 al 23 maggio 1774 e dal 1 gennaio 1809 ad oggi
Territorio,Territorio
Coordinate,43°47′N 11°06′E
Altitudine,46 m s.l.m.
Superficie,"18,81 km²"
Abitanti,19 019[1] (30-11-2025)
Densità,"1 011,11 ab./km²"
Frazioni,"Colli Alti-Indicatore, I Bassi, La Beccheria, Lecore, Ponte all'Asse, San Rocco, San Mauro a Signa, San Piero a Ponti, Sant'Angelo a Lecore"
Comuni confinanti,"Campi Bisenzio, Carmignano (PO), Lastra a Signa, Poggio a Caiano (PO), Scandicci"
Altre informazioni,Altre informazioni
Cod. postale,50058
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048044
Cod. catastale,I728
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 754 GG[3]"
Nome abitanti,Signesi
Patrono,"San Giovanni Battista, Giovanna da Signa"
Giorno festivo,24 giugno
Soprannome,Città della Paglia
Cartografia,Cartografia
Signa,Signa
Signa – MappaPosizione del comune di Signa all'interno della città metropolitana di Firenze,Signa – MappaPosizione del comune di Signa all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
