Greve in Chianti comune,Greve in Chianti comune.1
,
Greve in Chianti – Veduta,Greve in Chianti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Paolo Sottani (PD) dal 26-5-2014 (3° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°35′N 11°19′E
Altitudine,236 m s.l.m.
Superficie,"169,38 km²"
Abitanti,13 366[1] (30-11-2025)
Densità,"78,91 ab./km²"
Frazioni,"Chiocchio, Cintoia Bassa, Dudda, Ferrone, Greti, Montefioralle, Lamole, Lucolena in Chianti, La Panca, Panzano, Passo dei Pecorai, Poggio alla Croce, San Polo in Chianti, Strada in Chianti[2]"
Comuni confinanti,"Bagno a Ripoli, Barberino Tavarnelle, Castellina in Chianti (SI), Cavriglia (AR), Figline e Incisa Valdarno, Impruneta, Radda in Chianti (SI), Rignano sull'Arno, San Casciano in Val di Pesa"
Altre informazioni,Altre informazioni
Cod. postale,"50022, 50027"
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048021
Cod. catastale,E169
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 126 GG[4]"
Nome abitanti,grevigiani
Patrono,natività Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Greve in Chianti,Greve in Chianti
Greve in Chianti – MappaPosizione del comune di Greve in Chianti all'interno della città metropolitana di Firenze,Greve in Chianti – MappaPosizione del comune di Greve in Chianti all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
