Empoli comune,Empoli comune.1
,
Empoli – VedutaPiazza Farinata degli Uberti,Empoli – VedutaPiazza Farinata degli Uberti
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Alessio Mantellassi (PD) dal 25-6-2024
Territorio,Territorio
Coordinate,43°43′N 10°57′E
Altitudine,28 m s.l.m.
Superficie,"62,28 km²"
Abitanti,49 520[1] (30-11-2025)
Densità,"795,12 ab./km²"
Frazioni,"Avane, Brusciana, Casenuove, Corniola, Cortenuova, Fontanella-Sant'Andrea, Marcignana, Martignana, Molin Nuovo, Monterappoli, Pagnana, Ponte a Elsa, Pozzale, Tinaia, Villanuova.[2]"
Comuni confinanti,"Capraia e Limite, Castelfiorentino, Cerreto Guidi, Montelupo Fiorentino, Montespertoli, San Miniato (PI), Vinci"
Altre informazioni,Altre informazioni
Cod. postale,50053
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048014
Cod. catastale,D403
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 658 GG[4]"
Nome abitanti,empolesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Empoli,Empoli
Empoli – MappaPosizione del comune di Empoli nella città metropolitana di Firenze,Empoli – MappaPosizione del comune di Empoli nella città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
