Dicomano comune,Dicomano comune.1
,
Dicomano – VedutaPalazzo Comunale,Dicomano – VedutaPalazzo Comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Massimiliano Amato (centro-sinistra) dal 10-6-2024 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°54′N 11°32′E
Altitudine,160 m s.l.m.
Superficie,"61,63 km²"
Abitanti,5 608[1] (30-11-2025)
Densità,"90,99 ab./km²"
Frazioni,"Celle, San Detole (ex Contea), Corella, Frascole, Montedomini"
Comuni confinanti,"Londa, Marradi, Pontassieve, Rufina, San Godenzo, Vicchio"
Altre informazioni,Altre informazioni
Cod. postale,50062
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048013
Cod. catastale,D299
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 012 GG[3]"
Nome abitanti,dicomanesi
Patrono,sant'Onofrio
Cartografia,Cartografia
Dicomano,Dicomano
Dicomano – MappaPosizione del comune di Dicomano all'interno della città metropolitana di Firenze,Dicomano – MappaPosizione del comune di Dicomano all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
