Certaldo comune,Certaldo comune.1
,
Certaldo – Veduta,Certaldo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Giovanni Campatelli (PD) dal 9-6-2024
Territorio,Territorio
Coordinate,43°32′52″N 11°02′28″E
Altitudine,67 m s.l.m.
Superficie,"75,28 km²"
Abitanti,15 717[1] (30-11-2025)
Densità,"208,78 ab./km²"
Frazioni,"Bagnano, Fiano, Marcialla (in parte), Sciano"
Comuni confinanti,"Barberino Tavarnelle, Castelfiorentino, Gambassi Terme, Montespertoli, San Gimignano (SI)"
Altre informazioni,Altre informazioni
Cod. postale,50052
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048012
Cod. catastale,C540
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 865 GG[3]"
Nome abitanti,"certaldesi[4][5], certaldini[6][7][5]"
Patrono,san Tommaso apostolo
Giorno festivo,3 luglio
Cartografia,Cartografia
Certaldo,Certaldo
Certaldo – MappaPosizione del comune di Certaldo all'interno della città metropolitana di Firenze,Certaldo – MappaPosizione del comune di Certaldo all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
