Sesto Fiorentino comune,Sesto Fiorentino comune.1
,
Sesto Fiorentino – VedutaMunicipio di Sesto Fiorentino,Sesto Fiorentino – VedutaMunicipio di Sesto Fiorentino
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Claudia Pecchioli Vicesindaco F. F. (Partito Democratico)
Territorio,Territorio
Coordinate,43°50′N 11°12′E
Altitudine,55 m s.l.m.
Superficie,"48,8 km²"
Abitanti,49 253[1] (30-11-2025)
Densità,"1 009,28 ab./km²"
Frazioni,"Canonica di Cercina, Montorsoli, Osmannoro"
Comuni confinanti,"Calenzano, Campi Bisenzio, Fiesole, Firenze, Vaglia"
Altre informazioni,Altre informazioni
Cod. postale,50019
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048043
Cod. catastale,I684
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 772 GG[3]"
Nome abitanti,sestesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Sesto Fiorentino,Sesto Fiorentino
Sesto Fiorentino – MappaPosizione del comune di Sesto Fiorentino all'interno della città metropolitana di Firenze,Sesto Fiorentino – MappaPosizione del comune di Sesto Fiorentino all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
