Londa comune,Londa comune.1
,
Londa – Veduta,Londa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Tommaso Cuoretti (lista civica Insieme per Londa) dal 27-5-2019
Territorio,Territorio
Coordinate,43°51′09.07″N 11°35′51.17″E
Altitudine,226 m s.l.m.
Superficie,"59,29 km²"
Abitanti,1 848[1] (30-11-2025)
Densità,"31,17 ab./km²"
Frazioni,"Bucigna, Caiano, Caspriano, Fornace, Petroio, Rata, Rincine, Sambucheta, San Leolino, Vicorati, Vierle"
Comuni confinanti,"Dicomano, Pratovecchio Stia (AR), Rufina, San Godenzo"
Altre informazioni,Altre informazioni
Cod. postale,50060
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048025
Cod. catastale,E668
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 110 GG[3]"
Nome abitanti,londesi
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Londa,Londa
Londa – MappaPosizione del comune di Londa all'interno della città metropolitana di Firenze,Londa – MappaPosizione del comune di Londa all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
