Lastra a Signa comune,Lastra a Signa comune.1
,
Lastra a Signa – VedutaMura,Lastra a Signa – VedutaMura
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Emanuele Caporaso (PD) dall'8-6-2024
Territorio,Territorio
Coordinate,43°46′N 11°06′E
Altitudine,36 m s.l.m.
Superficie,"43,06 km²"
Abitanti,19 893[1] (30-11-2025)
Densità,"461,98 ab./km²"
Frazioni,"Brucianesi, Carcheri, Ginestra Fiorentina, Malmantile, Marliano, Ponte a Signa, Porto di Mezzo, Quattro Strade, San Romolo, Vigliano[2]"
Comuni confinanti,"Carmignano (PO), Montelupo Fiorentino, Montespertoli, Scandicci, Signa"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,50055
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048024
Cod. catastale,E466
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 806 GG[4]"
Nome abitanti,lastrigiani
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Lastra a Signa,Lastra a Signa
Lastra a Signa – MappaPosizione del comune di Lastra a Signa all'interno della città metropolitana di Firenze.,Lastra a Signa – MappaPosizione del comune di Lastra a Signa all'interno della città metropolitana di Firenze.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
