Pontassieve comune,Pontassieve comune.1
,
Pontassieve – VedutaPanorama di Pontassieve,Pontassieve – VedutaPanorama di Pontassieve
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,"Carlo Boni (PD, Lista civica Carlo Boni sindaco, Pontassieve al Centro) dal 10-6-2024"
Territorio,Territorio
Coordinate,43°46′30″N 11°26′15″E
Altitudine,108 m s.l.m.
Superficie,"114,4 km²"
Abitanti,20 083[1] (30-11-2025)
Densità,"175,55 ab./km²"
Frazioni,"Acone, Colognole, Doccia, Fornello, Le Falle, Le Sieci, Molino del Piano, Montebonello, Monteloro, Santa Brigida[2]"
Comuni confinanti,"Bagno a Ripoli, Borgo San Lorenzo, Dicomano, Fiesole, Pelago, Rignano sull'Arno, Rufina, Vicchio"
Altre informazioni,Altre informazioni
Cod. postale,50065
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048033
Cod. catastale,G825
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 928 GG[4]"
Nome abitanti,pontassievesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Pontassieve,Pontassieve
Pontassieve – MappaPosizione del comune di Pontassieve all'interno della città metropolitana di Firenze,Pontassieve – MappaPosizione del comune di Pontassieve all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
