Bagno a Ripoli comune,Bagno a Ripoli comune.1
(dettagli),(dettagli)
Bagno a Ripoli – VedutaPaesaggio di Bagno a Ripoli,Bagno a Ripoli – VedutaPaesaggio di Bagno a Ripoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Francesco Pignotti (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,43°45′N 11°19′E
Altitudine,75 m s.l.m.
Superficie,"74,1 km²"
Abitanti,24 812[1] (30-11-2025)
Densità,"334,84 ab./km²"
Frazioni,"Antella, Balatro, Capannuccia, Case San Romolo, Grassina, Ponte a Ema, Ponte a Niccheri, Rimaggio, Osteria Nuova, San Donato in Collina (in parte), Vallina, Villamagna[2]"
Comuni confinanti,"Fiesole, Firenze, Greve in Chianti, Impruneta, Pontassieve, Rignano sull'Arno"
Altre informazioni,Altre informazioni
Cod. postale,50012
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048001
Cod. catastale,A564
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 854 GG[4]"
Nome abitanti,ripolesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Bagno a Ripoli,Bagno a Ripoli
Bagno a Ripoli – MappaPosizione del comune di Bagno a Ripoli all'interno della città metropolitana di Firenze.,Bagno a Ripoli – MappaPosizione del comune di Bagno a Ripoli all'interno della città metropolitana di Firenze.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
