Montelupo Fiorentino comune,Montelupo Fiorentino comune.1
,
Montelupo Fiorentino – Veduta,Montelupo Fiorentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Simone Londi (PD) dall'11-06-2024
Territorio,Territorio
Coordinate,43°44′N 11°01′E
Altitudine,40 m s.l.m.
Superficie,"24,67 km²"
Abitanti,14 273[1] (30-11-2025)
Densità,"578,56 ab./km²"
Frazioni,"Botinaccio, Camaioni, Fibbiana, Graziani, La Torre, La Villa, L'Erta, Pulica, Samminiatello, Sammontana, San Quirico, Turbone"
Comuni confinanti,"Capraia e Limite, Carmignano (PO), Empoli, Lastra a Signa, Montespertoli"
Altre informazioni,Altre informazioni
Cod. postale,50056
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048028
Cod. catastale,F551
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 669 GG[3]"
Nome abitanti,Montelupini
Patrono,Giovanni apostolo ed evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Montelupo Fiorentino,Montelupo Fiorentino
Montelupo Fiorentino – MappaPosizione del comune di Montelupo Fiorentino all'interno della città metropolitana di Firenze,Montelupo Fiorentino – MappaPosizione del comune di Montelupo Fiorentino all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
