Reggello comune,Reggello comune.1
,
Reggello – Veduta,Reggello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,"Piero Giunti (PD, lista civica Reggello viva) dal 16-11-2020"
Territorio,Territorio
Coordinate,43°41′N 11°32′E
Altitudine,390 m s.l.m.
Superficie,"121,68 km²"
Abitanti,16 550[1] (30-11-2025)
Densità,"136,01 ab./km²"
Frazioni,"Arfoli, Borgo a Cascia, Camprenna, Cancelli, Canova, Cascia, Caselli, Ciliegi, Donnini, Leccio, Matassino, Montanino, Pian di Tegna, Pietrapiana, Pontifogno, Prulli, Saltino, San Clemente, San Donato in Fronzano, San Giovenale, Sant'Ellero, Tosi, Vaggio, Vallombrosa"
Comuni confinanti,"Castel San Niccolò (AR), Castelfranco Piandiscò (AR), Figline e Incisa Valdarno, Montemignaio (AR), Pelago, Rignano sull'Arno"
Altre informazioni,Altre informazioni
Cod. postale,50066
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048035
Cod. catastale,H222
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 363 GG[3]"
Nome abitanti,reggellesi
Patrono,san Jacopo
Giorno festivo,25 luglio
Cartografia,Cartografia
Reggello,Reggello
Reggello – MappaPosizione del comune di Reggello all'interno della città metropolitana di Firenze,Reggello – MappaPosizione del comune di Reggello all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
