Barberino Tavarnelle comune,Barberino Tavarnelle comune.1
,
Barberino Tavarnelle – Veduta,Barberino Tavarnelle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,David Baroncelli (centro-sinistra) dal 27-5-2019
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate,43°33′07.25″N 11°10′23.15″E
Altitudine,389 m s.l.m.
Superficie,"123,01 km²"
Abitanti,11 970[1] (30-11-2025)
Densità,"97,31 ab./km²"
Frazioni,"Badia a Passignano, Barberino Val d'Elsa, Bonazza, Casanuova del Piano, Chiostrini, Cipressino, Linari, Madonna di Pietracupa, Magliano, Marcialla (in parte), Monsanto, Morrocco, Noce, Palazzuolo, Pastine, Petrognano, Pontenuovo, Ponzano, Romita, Sambuca Val di Pesa, San Donato in Poggio, San Filippo a Ponzano, San Martino, San Michele, San Pietro in Bossolo, Sant'Appiano, Sosta del Papa, Spoiano, Tavarnelle Val di Pesa (sede comunale), Tignano, Vico d'Elsa, Vigliano, Zambra"
Comuni confinanti,"Castellina in Chianti (SI), Certaldo, Greve in Chianti, Montespertoli, Poggibonsi (SI), San Casciano in Val di Pesa, San Gimignano (SI)"
Altre informazioni,Altre informazioni
Cod. postale,50028
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048054
Cod. catastale,M408
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,San Pietro
Cartografia,Cartografia
Barberino Tavarnelle,Barberino Tavarnelle
Barberino Tavarnelle – MappaLocalizzazione del comune di Barberino Tavarnelle nella città metropolitana di Firenze,Barberino Tavarnelle – MappaLocalizzazione del comune di Barberino Tavarnelle nella città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
