San Godenzo comune,San Godenzo comune.1
,
San Godenzo – Veduta,San Godenzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Emanuele Piani (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,43°55′N 11°37′E
Altitudine,404 m s.l.m.
Superficie,"99,21 km²"
Abitanti,1 123[1] (30-11-2025)
Densità,"11,32 ab./km²"
Frazioni,"Casale, Castagneto, Castagno d'Andrea, Petrognano, San Bavello"
Comuni confinanti,"Dicomano, Londa, Marradi, Portico e San Benedetto (FC), Pratovecchio Stia (AR), Premilcuore (FC), Santa Sofia (FC)"
Altre informazioni,Altre informazioni
Cod. postale,50060
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048039
Cod. catastale,H937
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 891 GG[3]"
Nome abitanti,sangodenzini
Patrono,san Gaudenzio
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
San Godenzo,San Godenzo
San Godenzo – MappaPosizione del comune di San Godenzo all'interno della città metropolitana di Firenze,San Godenzo – MappaPosizione del comune di San Godenzo all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
