Campi Bisenzio comune,Campi Bisenzio comune.1
,
Campi Bisenzio – VedutaVeduta di Piazza Fra' Ristoro da Campi,Campi Bisenzio – VedutaVeduta di Piazza Fra' Ristoro da Campi
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Andrea Tagliaferri (SI) dal 29-5-2023
Territorio,Territorio
Coordinate,43°49′32″N 11°08′00″E
Altitudine,38 m s.l.m.
Superficie,"28,75 km²"
Abitanti,47 480[1] (30-11-2025)
Densità,"1 651,48 ab./km²"
Frazioni,"Capalle, Il Rosi, La Villa, San Cresci, San Donnino, San Giusto, San Lorenzo, San Martino, San Piero a Ponti, Santa Maria, Sant'Angelo a Lecore, Santo Stefano, Poggio Nuovo[2]"
Comuni confinanti,"Calenzano, Firenze, Poggio a Caiano (PO), Prato (PO), Scandicci, Sesto Fiorentino, Signa"
Altre informazioni,Altre informazioni
Cod. postale,50013
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048006
Cod. catastale,B507
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 721 GG[4]"
Nome abitanti,campigiani
Patrono,Beata Teresa Maria della Croce (Teresa Manetti)
Giorno festivo,23 aprile
Cartografia,Cartografia
Campi Bisenzio,Campi Bisenzio
Campi Bisenzio – MappaPosizione del comune di Campi Bisenzio all'interno della città metropolitana di Firenze,Campi Bisenzio – MappaPosizione del comune di Campi Bisenzio all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
