Impruneta comune,Impruneta comune.1
,
Impruneta – Veduta,Impruneta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Riccardo Lazzerini (centro-sinistra) dal 15-05-2023
Data di istituzione,1929
Territorio,Territorio
Coordinate,43°41′07.53″N 11°15′15.82″E
Altitudine,275 m s.l.m.
Superficie,"48,72 km²"
Abitanti,14 193[1] (30-11-2025)
Densità,"291,32 ab./km²"
Frazioni,"Bagnolo, Cantagallo, Baruffi, Bottai, Falciani, Il Ferrone, Poggio Ugolino, Mezzomonte, Pozzolatico, Tavarnuzze, San Gersolè"
Comuni confinanti,"Bagno a Ripoli, Firenze, Greve in Chianti, San Casciano in Val di Pesa, Scandicci"
Altre informazioni,Altre informazioni
Cod. postale,50023
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048022
Cod. catastale,E291
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 186 GG[3]"
Nome abitanti,imprunetini
Patrono,san Luca Evangelista
Giorno festivo,18 ottobre
Cartografia,Cartografia
Impruneta,Impruneta
Impruneta – MappaPosizione del comune di Impruneta all'interno della città metropolitana di Firenze,Impruneta – MappaPosizione del comune di Impruneta all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
