Castelfiorentino comune,Castelfiorentino comune.1
,
Castelfiorentino – Veduta,Castelfiorentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Francesca Giannì (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,43°36′39″N 10°58′12″E
Altitudine,50 m s.l.m.
Superficie,"66,56 km²"
Abitanti,17 481[1] (30-11-2025)
Densità,"262,64 ab./km²"
Frazioni,"Cambiano, Castelnuovo d'Elsa, Dogana, Granaiolo, Petrazzi[2]"
Comuni confinanti,"Certaldo, Empoli, Gambassi Terme, Montaione, Montespertoli, San Miniato (PI)"
Altre informazioni,Altre informazioni
Cod. postale,50051
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048010
Cod. catastale,C101
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 692 GG[4]"
Nome abitanti,castellani
Patrono,santa Verdiana
Giorno festivo,1º febbraio
Cartografia,Cartografia
Castelfiorentino,Castelfiorentino
Castelfiorentino – MappaPosizione del comune di Castelfiorentino all'interno della città metropolitana di Firenze,Castelfiorentino – MappaPosizione del comune di Castelfiorentino all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
