Vinci comune,Vinci comune.1
,
"Vinci – VedutaPanorama dal castello di Vinci, 2025","Vinci – VedutaPanorama dal castello di Vinci, 2025"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Daniele Vanni (PD) dal 21-6-2024
Data di istituzione,1372
Territorio,Territorio
Coordinate,43°47′N 10°55′E
Altitudine,97 m s.l.m.
Superficie,"54,19 km²"
Abitanti,14 586[1] (30-11-2025)
Densità,"269,16 ab./km²"
Frazioni,"Anchiano, Apparita, Burrino, Collegonzi, Faltognano, La Stella, Mercatale, Orbignano, Petroio, Piccaratico, Salvino, San Donato, San Pantaleo, Santa Lucia, Sant'Amato, Sant'Ansano, Sovigliana, Spicchio, Toiano, Vitolini"
Comuni confinanti,"Capraia e Limite, Carmignano (PO), Cerreto Guidi, Empoli, Lamporecchio (PT), Quarrata (PT)"
Altre informazioni,Altre informazioni
Cod. postale,50059
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048050
Cod. catastale,M059
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 765 GG[3]"
Nome abitanti,vinciani
Patrono,sant'Andrea apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Vinci,Vinci
Vinci – MappaPosizione del comune di Vinci all'interno della città metropolitana di Firenze,Vinci – MappaPosizione del comune di Vinci all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
