Capraia e Limite comune,Capraia e Limite comune.1
,
Capraia e Limite – VedutaScorcio di Capraia Fiorentina,Capraia e Limite – VedutaScorcio di Capraia Fiorentina
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Alessandro Giunti (PD) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°45′N 10°59′E
Altitudine,28 m s.l.m.
Superficie,"24,92 km²"
Abitanti,7 802[1] (30-11-2025)
Densità,"313,08 ab./km²"
Frazioni,"Castra, Pulignano"
Comuni confinanti,"Carmignano (PO), Empoli, Montelupo Fiorentino, Vinci"
Altre informazioni,Altre informazioni
Cod. postale,50050
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048008
Cod. catastale,B684
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 658 GG[3]"
Nome abitanti,capraini e limitesi
Patrono,"santo Stefano (Capraia), San Lorenzo (Limite)"
Giorno festivo,26 dicembre
Cartografia,Cartografia
Capraia e Limite,Capraia e Limite
Capraia e Limite – MappaPosizione del comune di Capraia e Limite all'interno della città metropolitana di Firenze.,Capraia e Limite – MappaPosizione del comune di Capraia e Limite all'interno della città metropolitana di Firenze.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
