Gambassi Terme comune,Gambassi Terme comune.1
,
Gambassi Terme – VedutaVeduta invernale,Gambassi Terme – VedutaVeduta invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Sergio Marzocchi[1] dal 13-06-2024
Territorio,Territorio
Coordinate,43°32′N 10°57′E
Altitudine,330 m s.l.m.
Superficie,"83,15 km²"
Abitanti,4 870[2] (30-11-2025)
Densità,"58,57 ab./km²"
Frazioni,"Badia a Cerreto, Borgoforte, Casenuove, Castagno, Catignano, Montignoso, Pillo, Varna"
Comuni confinanti,"Castelfiorentino, Certaldo, Montaione, San Gimignano (SI), Volterra (PI)"
Altre informazioni,Altre informazioni
Cod. postale,50050
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048020
Cod. catastale,D895
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 273 GG[4]"
Nome abitanti,gambassini
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Gambassi Terme,Gambassi Terme
Gambassi Terme – MappaPosizione del comune di Gambassi Terme all'interno della città metropolitana di Firenze,Gambassi Terme – MappaPosizione del comune di Gambassi Terme all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
