Rignano sull'Arno comune,Rignano sull'Arno comune.1
,
Rignano sull'Arno – Veduta,Rignano sull'Arno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Giacomo Certosi[1] (centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,43°43′25.32″N 11°27′02.52″E
Altitudine,118 m s.l.m.
Superficie,"54,14 km²"
Abitanti,8 503[2] (30-11-2025)
Densità,"157,06 ab./km²"
Frazioni,"Bombone, Castellonchio, Cellai, Le Corti, Le Valli, Rosano, Salceto, San Donato in Collina, San Martino, San Piero, Santa Maria, Sarnese, Torri, Troghi, Volognano"
Comuni confinanti,"Bagno a Ripoli, Figline e Incisa Valdarno, Greve in Chianti, Pelago, Pontassieve, Reggello"
Altre informazioni,Altre informazioni
Cod. postale,50067
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048036
Cod. catastale,H286
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 944 GG[4]"
Nome abitanti,rignanesi
Patrono,san Leolino
Giorno festivo,12 novembre
PIL procapite,(nominale) 21.212 € (2015)[5]
Cartografia,Cartografia
Rignano sull'Arno,Rignano sull'Arno
Rignano sull'Arno – MappaPosizione del comune di Rignano sull'Arno all'interno della città metropolitana di Firenze,Rignano sull'Arno – MappaPosizione del comune di Rignano sull'Arno all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
