Rufina comune,Rufina comune.1
,
Rufina – VedutaIl Comune,Rufina – VedutaIl Comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Daniele Venturi (lista civica Rufina Che Verrà) dal 10-6-2024
Territorio,Territorio
Coordinate,43°49′N 11°29′E
Altitudine,115 m s.l.m.
Superficie,"45,88 km²"
Abitanti,7 091[1] (30-11-2025)
Densità,"154,56 ab./km²"
Frazioni,"Casi, Casini, Castiglioni, Contea, Falgano, Masseto, Pomino, Rimaggio, Scopeti, Turicchi, Pinzano"
Comuni confinanti,"Dicomano, Londa, Montemignaio (AR), Pelago, Pontassieve, Pratovecchio Stia (AR)"
Altre informazioni,Altre informazioni
Cod. postale,50068
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,048037
Cod. catastale,H635
Targa,FI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 939 GG[3]"
Nome abitanti,rufinesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Rufina,Rufina
Rufina – MappaPosizione del comune di Rufina all'interno della città metropolitana di Firenze,Rufina – MappaPosizione del comune di Rufina all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
