Fucecchio comune,Fucecchio comune.1
,
Fucecchio – VedutaVeduta,Fucecchio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Città metropolitana,Firenze
Amministrazione,Amministrazione
Sindaco,Emma Donnini (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,43°44′N 10°48′E
Altitudine,25 m s.l.m.
Superficie,"65,18 km²"
Abitanti,22 918[1] (30-11-2025)
Densità,"351,61 ab./km²"
Frazioni,"Galleno, Le Botteghe, Massarella, Pinete, Ponte a Cappiano, Querce, San Pierino, Torre"
Comuni confinanti,"Altopascio (LU), Castelfranco di Sotto (PI), Cerreto Guidi, Chiesina Uzzanese (PT), Larciano (PT), Ponte Buggianese (PT), San Miniato (PI), Santa Croce sull'Arno (PI)"
Altre informazioni,Altre informazioni
Cod. postale,50054
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,048019
Cod. catastale,D815
Targa,FI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 728 GG[3]"
Nome abitanti,fucecchiesi
Patrono,san Candido
Giorno festivo,3 ottobre
Cartografia,Cartografia
Fucecchio,Fucecchio
Fucecchio – MappaPosizione del comune di Fucecchio all'interno della città metropolitana di Firenze,Fucecchio – MappaPosizione del comune di Fucecchio all'interno della città metropolitana di Firenze
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
