Casale Litta comune,Casale Litta comune.1
,
Casale Litta – Veduta,Casale Litta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Graziano Maffioli (lista civica Amministri@mo Insieme) dal 5-10-2021, 3º mandato"
Territorio,Territorio
Coordinate,45°46′07″N 8°44′32″E
Altitudine,382 m s.l.m.
Superficie,"10,59 km²"
Abitanti,2 777[1] (30-11-2025)
Densità,"262,23 ab./km²"
Frazioni,"Bernate, Gaggio, San Pancrazio, Tordera, Villadosia, Bosco Grande."
Comuni confinanti,"Bodio Lomnago, Crosio della Valle, Daverio, Inarzo, Mornago, Varano Borghi, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012036
Cod. catastale,B875
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 671 GG[3]"
Nome abitanti,casalesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Casale Litta,Casale Litta
Casale Litta – MappaPosizione del comune di Casale Litta nella provincia di Varese,Casale Litta – MappaPosizione del comune di Casale Litta nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
