Mesenzana comune,Mesenzana comune.1
,
Mesenzana – VedutaIl torrente Margorabbia a Mesenzana,Mesenzana – VedutaIl torrente Margorabbia a Mesenzana
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Alberto Rossi (lista civica Per una grande Mesenzana) dal 10/6/2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°56′49.2″N 8°45′32.04″E
Altitudine,305 m s.l.m.
Superficie,"4,88 km²"
Abitanti,1 819[2] (30-11-2025)
Densità,"372,75 ab./km²"
Frazioni,"Alpe Cavoglio, Ca' Bianca Nuova, Gesiola del Monte San Martino, Le Cascine, Malpensata, Maro, Molino d'Anna, Pezza, Pianazzo, Piatta"
Comuni confinanti,"Brissago-Valtravaglia, Cassano Valcuvia, Duno, Grantola, Montegrino Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012102
Cod. catastale,F154
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 573 GG[4]"
Nome abitanti,mesenzanesi
Patrono,Purificazione della Beata Vergine Maria
Giorno festivo,2 febbraio
Cartografia,Cartografia
Mesenzana,Mesenzana
Mesenzana – MappaPosizione del comune di Mesenzana nella provincia di Varese,Mesenzana – MappaPosizione del comune di Mesenzana nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
