Montegrino Valtravaglia comune,Montegrino Valtravaglia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Fabio De Ambros (lista civica Fare Comune) dal 4-10-2021
Territorio,Territorio
Coordinate,45°58′29″N 8°46′06″E
Altitudine,525 m s.l.m.
Superficie,"10,1 km²"
Abitanti,1 524[1] (30-11-2025)
Densità,"150,89 ab./km²"
Frazioni,"Alpe del Campegino, Bonera, Bosco Valtravaglia, Casa Briccoli, Casa Compagnoni, Casa De Andrea, Case Sciarè, Castendallo, Cucco, Monte Sette Termini (I Bedroni), Ostino, Piana, Pianco, Pivetta, Porscì, Riviera, San Martino, Sciorbagno, Segrada, Sorti"
Comuni confinanti,"Brissago Valtravaglia, Cadegliano Viconago, Cremenaga, Cugliate Fabiasco, Germignaga, Grantola, Luino, Mesenzana"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012103
Cod. catastale,F526
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 771 GG[3]"
Nome abitanti,montegrinesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Montegrino Valtravaglia,Montegrino Valtravaglia
Montegrino Valtravaglia – MappaPosizione del comune di Montegrino Valtravaglia nella provincia di Varese,Montegrino Valtravaglia – MappaPosizione del comune di Montegrino Valtravaglia nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
