Clivio comune,Clivio comune.1
,
Clivio – Veduta,Clivio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giuseppe Galli (LN/lista civica Uniti per Clivio) dal 4-10-2020
Territorio,Territorio
Coordinate,45°52′N 8°56′E
Altitudine,468 m s.l.m.
Superficie,"2,98 km²"
Abitanti,1 980[1] (30-11-2025)
Densità,"664,43 ab./km²"
Comuni confinanti,"Saltrio, Viggiù, Cantello, Mendrisio (CH-TI), Stabio (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012052
Cod. catastale,C796
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 693 GG[3]"
Nome abitanti,cliviesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Clivio,Clivio
Clivio – MappaPosizione del comune di Clivio nella provincia di Varese,Clivio – MappaPosizione del comune di Clivio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
