Agra comune,Agra comune.1
,
"Agra – VedutaVeduta di Agra, sovrastata dal monte Lema","Agra – VedutaVeduta di Agra, sovrastata dal monte Lema"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Luca Baglioni (lista civica Uniti per Agra) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,46°02′05.64″N 8°46′17.76″E
Altitudine,650 m s.l.m.
Superficie,"2,8 km²"
Abitanti,380[1] (30-11-2025)
Densità,"135,71 ab./km²"
Frazioni,"Bedorè, Gaggio, Madonna della Lupera"
Comuni confinanti,"Dumenza, Luino, Maccagno con Pino e Veddasca"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012001
Cod. catastale,A085
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 029 GG[3]"
Nome abitanti,agresi
Patrono,sant'Eusebio di Vercelli
Giorno festivo,2 agosto
Cartografia,Cartografia
Agra,Agra
Agra – MappaLocalizzazione del comune di Agra nella provincia di Varese,Agra – MappaLocalizzazione del comune di Agra nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
