Luino comune,Luino comune.1
,
Luino – VedutaVeduta,Luino – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Enrico Bianchi (lista civica Proposta per Luino) dal 22-9-2020
Territorio,Territorio
Coordinate,46°00′N 8°45′E
Altitudine,202 m s.l.m.
Superficie,"21,01 km²"
Abitanti,14 010[1] (30-11-2025)
Densità,"666,83 ab./km²"
Frazioni,"Colmegna, Poppino, Longhirolo, Creva, Voldomino e Biviglione[2]"
Comuni confinanti,"Agra, Cannero Riviera (VB), Cannobio (VB), Cremenaga, Dumenza, Germignaga, Maccagno con Pino e Veddasca, Tresa (CH-TI), Montegrino Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21016
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012092
Cod. catastale,E734
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 465 GG[4]"
Nome abitanti,luinesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Luino,Luino
Luino – MappaPosizione del comune di Luino nella provincia di Varese,Luino – MappaPosizione del comune di Luino nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
