Ispra comune,Ispra comune.1
,
Ispra – VedutaIspra vista dalla costa di Ranco,Ispra – VedutaIspra vista dalla costa di Ranco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Rosalina Di Spirito (lista civica SiAmo Ispra) dal 10/06/2024 (1º mandato)[1]
Territorio,Territorio
Coordinate,45°49′N 8°37′E
Altitudine,220 m s.l.m.
Superficie,"15,91 km²"
Abitanti,5 353[2] (30-11-2025)
Densità,"336,46 ab./km²"
Frazioni,"Alto Paese, Barza, Borghetto, Cascine, Case Nuove, Monteggia[3](CCR), Quassa, Funtanún"
Comuni confinanti,"Angera, Belgirate (VB), Brebbia, Cadrezzate con Osmate, Lesa (NO), Ranco, Travedona Monate"
Altre informazioni,Altre informazioni
Cod. postale,21027
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012084
Cod. catastale,E367
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 454 GG[5]"
Nome abitanti,ispresi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Ispra,Ispra
Ispra – MappaPosizione del comune di Ispra nella provincia di Varese,Ispra – MappaPosizione del comune di Ispra nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
