Olgiate Olona comune,Olgiate Olona comune.1
,
Olgiate Olona – VedutaFontana di Villa Greppi-Gonzaga,Olgiate Olona – VedutaFontana di Villa Greppi-Gonzaga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giovanni Montano (lista civica Giovanni Montano Sindaco) dal 10-6-2024 (3º mandato)[1].
Territorio,Territorio
Coordinate,45°38′N 8°53′E
Altitudine,235 m s.l.m.
Superficie,"7,21 km²"
Abitanti,12 922[2] (30-11-2025)
Densità,"1 792,23 ab./km²"
Frazioni,Buon Gesù
Comuni confinanti,"Busto Arsizio, Castellanza, Fagnano Olona, Gorla Minore, Marnate, Solbiate Olona"
Altre informazioni,Altre informazioni
Cod. postale,21057
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012108
Cod. catastale,G028
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 879 GG[4]"
Nome abitanti,olgiatesi
Patrono,Santi Stefano e Lorenzo
Giorno festivo,26 dicembre
Cartografia,Cartografia
Olgiate Olona,Olgiate Olona
Olgiate Olona – MappaPosizione del comune di Olgiate Olona nella provincia di Varese,Olgiate Olona – MappaPosizione del comune di Olgiate Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
