Somma Lombardo comune,Somma Lombardo comune.1
,
Somma Lombardo – VedutaDiga del Panperduto,Somma Lombardo – VedutaDiga del Panperduto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Stefano Bellaria (PD) dal 15-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°41′N 8°42′E
Altitudine,282 m s.l.m.
Superficie,"30,51 km²"
Abitanti,17 918[1] (30-11-2025)
Densità,"587,28 ab./km²"
Frazioni,"Case Nuove, Coarezza, Maddalena, Mezzana, Somma (sede comunale)[2]"
Comuni confinanti,"Arsago Seprio, Cardano al Campo, Casorate Sempione, Castelletto sopra Ticino (NO), Ferno, Golasecca, Pombia (NO), Samarate, Varallo Pombia (NO), Vergiate, Vizzola Ticino"
Altre informazioni,Altre informazioni
Cod. postale,21019
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012123
Cod. catastale,I819
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 938 GG[4]"
Nome abitanti,sommesi
Patrono,sant'Agnese
Giorno festivo,21 gennaio
Motto,Summa Sidera Celsa Petit
Cartografia,Cartografia
Somma Lombardo,Somma Lombardo
Somma Lombardo – MappaPosizione del comune di Somma Lombardo nella provincia di Varese,Somma Lombardo – MappaPosizione del comune di Somma Lombardo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
