Golasecca comune,Golasecca comune.1
,
Golasecca – VedutaDiga della miorina,Golasecca – VedutaDiga della miorina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Claudio Ventimiglia (lista civica Aria Nuova!) dal 01-06-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°42′N 8°39′E
Altitudine,280 m s.l.m.
Superficie,"7,44 km²"
Abitanti,2 640[1] (30-11-2025)
Densità,"354,84 ab./km²"
Comuni confinanti,"Castelletto sopra Ticino (NO), Sesto Calende, Somma Lombardo, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012077
Cod. catastale,E079
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 935 GG[3]"
Nome abitanti,golasecchesi
Patrono,Maria SS.ma Assunta
Cartografia,Cartografia
Golasecca,Golasecca
Golasecca – MappaPosizione del comune di Golasecca nella provincia di Varese,Golasecca – MappaPosizione del comune di Golasecca nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
