Morazzone comune,Morazzone comune.1
,
Morazzone – VedutaChiesa parrocchiale,Morazzone – VedutaChiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Maurizio Mazzucchelli (Lista civica Il paese che vorrei) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°46′N 8°50′E
Altitudine,432 m s.l.m.
Superficie,"5,6 km²"
Abitanti,4 318[2] (30-11-2025)
Densità,"771,07 ab./km²"
Frazioni,"Centro storico, Roccolo, Roncaccio, Mezzanella, Pagliate, Cuffia"
Comuni confinanti,"Brunello, Caronno Varesino, Castiglione Olona, Castronno, Gazzada Schianno, Gornate Olona, Lozza"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012105
Cod. catastale,F711
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 721 GG[4]"
Nome abitanti,morazzonesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Morazzone,Morazzone
Morazzone – MappaPosizione del comune di Morazzone nella provincia di Varese,Morazzone – MappaPosizione del comune di Morazzone nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
