Varano Borghi comune,Varano Borghi comune.1
,
Varano Borghi – VedutaLa chiesa parrocchiale del Divino Redentore,Varano Borghi – VedutaLa chiesa parrocchiale del Divino Redentore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Maurizio Volpi (lista civica Per chi ama Varano 2.0) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°46′N 8°42′E
Altitudine,281 m s.l.m.
Superficie,"3,33 km²"
Abitanti,2 508[2] (30-11-2025)
Densità,"753,15 ab./km²"
Comuni confinanti,"Casale Litta, Comabbio, Inarzo, Mercallo, Ternate, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012132
Cod. catastale,L671
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 532 GG[4]"
Nome abitanti,varanesi
Patrono,Andrea apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Varano Borghi,Varano Borghi
Varano Borghi – MappaPosizione del comune di Varano Borghi nella provincia di Varese,Varano Borghi – MappaPosizione del comune di Varano Borghi nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
