Laveno-Mombello comune,Laveno-Mombello comune.1
,
Laveno-Mombello – VedutaVista di Laveno-Mombello dal Lago,Laveno-Mombello – VedutaVista di Laveno-Mombello dal Lago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Luca Santagostino (lista civica Civitas per Laveno Mombello) dal 22-9-2020
Territorio,Territorio
Coordinate,45°54′31.97″N 8°37′13.3″E
Altitudine,205 m s.l.m.
Superficie,"23,53 km²"
Abitanti,8 383[1] (30-11-2025)
Densità,"356,27 ab./km²"
Frazioni,"Casere, Cerro sul Lago Maggiore, Mombello sul Lago Maggiore, Ponte"
Comuni confinanti,"Caravate, Castelveccana, Cittiglio, Ghiffa (VB), Leggiuno, Sangiano, Stresa (VB), Verbania (VB)"
Altre informazioni,Altre informazioni
Cod. postale,21014
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012087
Cod. catastale,E496
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 433 GG[3]"
Nome abitanti,"Lavenesi, Mombellesi"
Patrono,Santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Laveno-Mombello,Laveno-Mombello
Laveno-Mombello – MappaPosizione del comune di Laveno-Mombello nella provincia di Varese,Laveno-Mombello – MappaPosizione del comune di Laveno-Mombello nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
