Porto Ceresio comune,Porto Ceresio comune.1
,
Porto Ceresio – Veduta,Porto Ceresio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Prestifilippo (lista civica Porto Ceresio On) dal 5-10-2021
Territorio,Territorio
Coordinate,45°54′N 8°54′E
Altitudine,280 m s.l.m.
Superficie,"5,34 km²"
Abitanti,2 790[1] (30-11-2025)
Densità,"522,47 ab./km²"
Frazioni,"Albero di Sella, Cà del Monte, Case Moro, Monte Casolo, Monte Grumello, Poncia, Ronco Falcione, Selvapiana, rione San Pietro"
Comuni confinanti,"Besano, Brusimpiano, Brusino Arsizio (CH-TI), Cuasso al Monte, Mendrisio (CH-TI), Morcote (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012113
Cod. catastale,G906
Targa,va
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 512 GG[3]"
Nome abitanti,portoceresini
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Porto Ceresio,Porto Ceresio
Porto Ceresio – MappaPosizione del comune di Porto Ceresio nella provincia di Varese,Porto Ceresio – MappaPosizione del comune di Porto Ceresio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
