Lozza comune,Lozza comune.1
,
Lozza – Veduta,Lozza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Matteo Acchini (lista civica Comunità e Comune) dal 10/6/2024[1]
Territorio,Territorio
Coordinate,45°46′29.33″N 8°51′41.21″E
Altitudine,350 m s.l.m.
Superficie,"1,71 km²"
Abitanti,1 214[2] (30-11-2025)
Densità,"709,94 ab./km²"
Comuni confinanti,"Castiglione Olona, Gazzada Schianno, Malnate, Morazzone, Varese, Vedano Olona"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012091
Cod. catastale,E707
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 598 GG[4]"
Nome abitanti,lozzesi
Patrono,sant'Antonino martire
Giorno festivo,13 novembre
Cartografia,Cartografia
Lozza,Lozza
Lozza – MappaPosizione del comune di Lozza nella provincia di Varese,Lozza – MappaPosizione del comune di Lozza nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
