Castronno comune,Castronno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giuseppe Gabri (centro-destra unitario) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°45′09.98″N 8°48′39.6″E
Altitudine,325 m s.l.m.
Superficie,"3,76 km²"
Abitanti,5 033[2] (30-11-2025)
Densità,"1 338,56 ab./km²"
Frazioni,"Cascine Maggio, Sant'Alessandro"
Comuni confinanti,"Albizzate, Brunello, Caronno Varesino, Gazzada Schianno, Morazzone, Sumirago"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012047
Cod. catastale,C343
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 593 GG[4]"
Nome abitanti,castronnesi
Patrono,santi Nazaro e Celso
Giorno festivo,27 luglio
Cartografia,Cartografia
Castronno,Castronno
Castronno – MappaPosizione del comune di Castronno nella provincia di Varese,Castronno – MappaPosizione del comune di Castronno nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
