Ferrera di Varese comune,Ferrera di Varese comune.1
,
Ferrera di Varese – Veduta,Ferrera di Varese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marina Salardi (lista civica Uniti per Ferrera comune) dal 27-05-2019 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°56′N 8°47′E
Altitudine,299 m s.l.m.
Superficie,"1,53 km²"
Abitanti,695[2] (30-11-2025)
Densità,"454,25 ab./km²"
Frazioni,Mondiscia
Comuni confinanti,"Cassano Valcuvia, Cunardo, Grantola, Masciago Primo, Rancio Valcuvia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012069
Cod. catastale,D551
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 569 GG[4]"
Nome abitanti,ferreresi
Giorno festivo,15 agosto
Cartografia,Cartografia
Ferrera di Varese,Ferrera di Varese
Ferrera di Varese – MappaPosizione del comune di Ferrera di Varese nella provincia di Varese,Ferrera di Varese – MappaPosizione del comune di Ferrera di Varese nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
