Cuveglio comune,Cuveglio comune.1
,
Cuveglio – Veduta,Cuveglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giorgio Piccolo (lista civica Per Cuveglio) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°54′21.24″N 8°44′03.48″E
Altitudine,294 m s.l.m.
Superficie,"7,53 km²"
Abitanti,3 363[2] (30-11-2025)
Densità,"446,61 ab./km²"
Frazioni,"Canonica di Cuveglio, Cavona, Vergobbio, Marianna, Sant'Anna"
Comuni confinanti,"Casalzuigno, Cassano Valcuvia, Castello Cabiaglio, Cuvio, Duno, Rancio Valcuvia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012062
Cod. catastale,D238
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 531 GG[4]"
Nome abitanti,cuvegliesi
Cartografia,Cartografia
Cuveglio,Cuveglio
Cuveglio – MappaPosizione del comune di Cuveglio nella provincia di Varese,Cuveglio – MappaPosizione del comune di Cuveglio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
