Busto Arsizio comune,Busto Arsizio comune.1
,
Busto Arsizio – VedutaSantuario di Santa Maria di Piazza,Busto Arsizio – VedutaSantuario di Santa Maria di Piazza
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Emanuele Antonelli (FdI[1]) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°36′43.05″N 8°51′06.48″E
Altitudine,226 m s.l.m.
Superficie,"30,66 km²"
Abitanti,84 603[2] (30-11-2025)
Densità,"2 759,39 ab./km²"
Frazioni,Borsano Sacconago
Comuni confinanti,"Cassano Magnago, Castellanza, Dairago (MI), Fagnano Olona, Gallarate, Legnano (MI), Magnago (MI), Olgiate Olona, Samarate"
Altre informazioni,Altre informazioni
Cod. postale,21052
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012026
Cod. catastale,B300
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 861 GG[4]"
Nome abitanti,bustocchi[5]
Patrono,san Giovanni Battista e san Michele Arcangelo
Giorno festivo,24 giugno
Cartografia,Cartografia
Busto Arsizio,Busto Arsizio
Busto Arsizio – MappaLocalizzazione del comune di Busto Arsizio nella provincia di Varese,Busto Arsizio – MappaLocalizzazione del comune di Busto Arsizio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
