Fagnano Olona comune,Fagnano Olona comune.1
,
Fagnano Olona – Veduta,Fagnano Olona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Baroffio (lista civica SìAmo Fagnano) dal 4-10-2021
Territorio,Territorio
Coordinate,45°40′N 8°52′E
Altitudine,265 m s.l.m.
Superficie,"8,68 km²"
Abitanti,12 398[1] (30-11-2025)
Densità,"1 428,34 ab./km²"
Frazioni,"Balzarine, Bergoro, Fornaci, San Martino"
Comuni confinanti,"Busto Arsizio, Cairate, Cassano Magnago, Gorla Maggiore, Locate Varesino (CO), Olgiate Olona, Solbiate Olona"
Altre informazioni,Altre informazioni
Cod. postale,21054
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012067
Cod. catastale,D467
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 915 GG[3]"
Nome abitanti,"Fagnanesi (borgo), Bergoresi (frazione)"
Patrono,san Gaudenzio
Giorno festivo,22 gennaio
Motto,à bon fin
Cartografia,Cartografia
Fagnano Olona,Fagnano Olona
Fagnano Olona – MappaPosizione del comune di Fagnano Olona nella provincia di Varese,Fagnano Olona – MappaPosizione del comune di Fagnano Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
