Orino comune,Orino comune.1
,
Orino – VedutaIl municipio,Orino – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Federico Raos (lista civica Noi X Orino) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°53′N 8°43′E
Altitudine,456 m s.l.m.
Superficie,"3,72 km²"
Abitanti,846[2] (30-11-2025)
Densità,"227,42 ab./km²"
Comuni confinanti,"Azzio, Cocquio-Trevisago, Cuvio"
Altre informazioni,Altre informazioni
Cod. postale,21036
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012110
Cod. catastale,G105
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 754 GG[4]"
Nome abitanti,orinesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Orino,Orino
Orino – MappaPosizione del comune di Orino nella provincia di Varese,Orino – MappaPosizione del comune di Orino nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
