Solbiate Olona comune,Solbiate Olona comune.1
,
Solbiate Olona – Veduta,Solbiate Olona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Lucio Giuseppe Ghioldi (lista civica Più Solbiate) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°39′N 8°53′E
Altitudine,247 m s.l.m.
Superficie,"4,92 km²"
Abitanti,5 405[2] (30-11-2025)
Densità,"1 098,58 ab./km²"
Frazioni,Solbiello
Comuni confinanti,"Fagnano Olona, Gorla Maggiore, Gorla Minore, Olgiate Olona"
Altre informazioni,Altre informazioni
Cod. postale,21058
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012122
Cod. catastale,I794
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 466 GG[4]"
Nome abitanti,solbiatesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Solbiate Olona,Solbiate Olona
Solbiate Olona – MappaPosizione del comune di Solbiate Olona nella provincia di Varese,Solbiate Olona – MappaPosizione del comune di Solbiate Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
