Uboldo comune,Uboldo comune.1
,
Uboldo – Veduta,Uboldo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Luigi Clerici (centrodestra) dal 27-5-2019[1] (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°37′N 9°00′E
Altitudine,205 m s.l.m.
Superficie,"10,74 km²"
Abitanti,11 116[2] (30-11-2025)
Densità,"1 035,01 ab./km²"
Comuni confinanti,"Cerro Maggiore (MI), Gerenzano, Origgio, Rescaldina (MI), Saronno"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,012130
Cod. catastale,L480
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 408 GG[4]"
Nome abitanti,uboldesi
Cartografia,Cartografia
Uboldo,Uboldo
Uboldo – MappaPosizione del comune di Uboldo nella provincia di Varese,Uboldo – MappaPosizione del comune di Uboldo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
